Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: blocks,Spreadsheet: state,Spreadsheet: highProbCue,Spreadsheet: lowProbCue,Spreadsheet: outcomes_array,Spreadsheet: answers,Spreadsheet: stimuli_left,Spreadsheet: stimuli_right,Spreadsheet: leftIdx,Spreadsheet: rightIdx,Spreadsheet: loss_blue,Spreadsheet: loss_red,Spreadsheet: xfix,Spreadsheet: xcues,Manipulation: Spreadsheet,Store: amount0,Store: amount,Store: correct,Store: total
1,1697784945095,20/10/2023 06:55:45,1697788545095,1,20/10/2023 08:55:45,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1697784947311,20/10/2023 06:55:47,1697788547311,1,20/10/2023 08:55:47,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,1,instructions,intro 1,s6834o,1,continue,,0,0,0,5643,5632,5643,1,0,0,0,,Click To Continue,Continue Button,2,object-11,instructions,,,,,,,,,,,,,,,,,,,,
3,1697784950812,20/10/2023 06:55:50,1697788550812,1,20/10/2023 08:55:50,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,1,instructions,intro 2,v3rtr6,2,continue,,3513,3501,3513,3513,3501,3513,1,3513,0,0,,Click To Continue,Continue Button,2,object-139,instructions,,,,,,,,,,,,,,,,,,,,
4,1697784951847,20/10/2023 06:55:51,1697788551847,1,20/10/2023 08:55:51,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,1,instructions,intro 3,43e5qn,3,continue,,1047,1038,1047,1047,1038,1047,1,1047,0,0,,Click To Continue,Continue Button,2,object-916,instructions,,,,,,,,,,,,,,,,,,,,
5,1697784954837,20/10/2023 06:55:54,1697788554837,1,20/10/2023 08:55:54,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,1,countdown_pract,countdown,nu4fp5,1,timedOut,,2999,2999,2999,2999,2999,2999,1,2999,0,0,,Time Limit,screen,0,screen,countdown_pract,,,,,,,,,,,,,,,,,,,,
6,1697784955876,20/10/2023 06:55:55,1697788555876,1,20/10/2023 08:55:55,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,1,practice_trial,fixation,8jdba8,1,timedOut,,1039,1039,1039,1039,1039,1039,1,1039,0,0,,Time Limit,screen,0,screen,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1042.498532,616.5451361,,,,,
7,1697784956454,20/10/2023 06:55:56,1697788556454,1,20/10/2023 08:55:56,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,1,practice_trial,fixation,8jdba8,1,continue,,1616,1616,1616,1616,1616,1616,1,1616,0,0,,Fixation Timing,Fixation,1,object-54,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1042.498532,616.5451361,,,,,
8,1697784956488,20/10/2023 06:55:56,1697788556488,1,20/10/2023 08:55:56,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,1,practice_trial,cues,xu4j1l,2,timedOut,,611,611,611,611,611,611,1,611,0,0,,Time Limit,screen,0,screen,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1042.498532,616.5451361,,,,,
9,1697784957712,20/10/2023 06:55:57,1697788557712,1,20/10/2023 08:55:57,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,1,practice_trial,response,6nrjly,3,response,2,1223,1216,1223,1223,1216,1223,1,1223,0,0,,Keyboard Response,Keyboard Response,4,object-66,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1042.498532,616.5451361,,0,,,
10,1697784959195,20/10/2023 06:55:59,1697788559195,1,20/10/2023 08:55:59,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,1,practice_trial,feedback,l15q64,4,timedOut,,1492,1492,1492,1492,1492,1492,1,1492,0,0,,Time Limit,screen,0,screen,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1042.498532,616.5451361,,0,,,
